B,SONY TV哪個系列是沒有內建網卡但有支援FullHD,W600A,W650A,W700A,W800A
C,下列哪一個是背動式3D的優點,Full HD影像,要充電,便宜,2D無損
B,高畫質電視的最佳觀賞距離是螢幕對角線幾倍,2倍,2.5倍,3倍,4倍
B,以下何者是國際牌影像處理晶片,黑金晶片,黑鑽晶片,VIERA晶片,CHROMAX Pro晶片
A,以下何者不是主動式3D的特色,眼鏡觀賞角度178度,FULL HD解析度,需要充電,單價高
C,電視週邊NetTV3下列何者型號有支援看A台錄B台功能,NetTV3雙功機,NetTV3 Mobile獨享機,NetTV3 Dual雙享機,NetTV3分享機
C,以下何者不是比特數位功能特色,支援USB/E-SATA外接式儲存裝置,區域影音分享功能,無支援無線傳輸功能,FULL HD高畫質解析度
D,TOTOLINK 專用設定APP軟體,Ging set,LINK Ging ,TOTOLINK  SET,TAMIO Ging
A,SONY 何系列有內附NFC遙控器,W950系列,W900系列,W800系列,W700系列
B,SONY 何系列(含)以上有支援3D功能,W900系列,W800系列,W700系列,W650系列
C,Pansonic smart TV下列哪個系列有支援內建視訊功能,ET60,ST60,WT60,E6
B,LG 何系列(含)以上有內建Wifi功能,LA6600,LN5700,LA6200,LN5400
C,TIME MachineⅡ為下列哪一品牌專屬功能,三星,SONY,LG,國際
C,下列哪一品牌電視有內建WiDi技術,三星,SONY,LG,國際
C,SMART SHARE為下列哪一品牌專屬用來連結影音裝置作多媒體分享,三星,SONY,LG,國際
A.C,複選下列三星品牌機種可透過智慧進化套件(Evolution Kit)來進行升級,ES8000,F6100,ES7500,ES5500
D,以下何者是三星ALL SHARE 功能特色,鏡像分享,雲端分享,智慧串聯,以上皆是
